time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837191.69979501,0.01377878,0.00834407,-nan,83801.00000000,0.01042108,0.000000,0.000000
1577837191.79964995,0.01375300,0.00706641,-nan,83925.00000000,0.00924101,0.000000,0.000000
1577837191.89950109,0.01373907,0.00807611,-nan,84123.00000000,0.01128743,0.000000,0.000000
1577837191.99935317,0.01372721,0.00893308,-nan,84271.00000000,0.01162828,0.000000,0.000000
1577837192.09998798,0.01371300,0.00918406,-nan,84380.00000000,0.01118435,0.000000,0.000000
1577837192.19984508,0.01369311,0.00736164,-nan,84492.00000000,0.01013296,0.000000,0.000000
1577837192.29967785,0.01368868,0.01001091,-nan,84559.00000000,0.01289080,0.000000,0.000000
1577837192.39950705,0.01366740,0.00794574,-nan,83789.00000000,0.00981515,0.000000,0.000000
1577837192.49934387,0.01364454,0.00755007,-nan,83913.00000000,0.00948520,0.000000,0.000000
1577837192.59998584,0.01362838,0.00779231,-nan,84119.00000000,0.01067021,0.000000,0.000000
1577837192.69983888,0.01361153,0.00733337,-nan,84363.00000000,0.01051122,0.000000,0.000000
1577837192.79968786,0.01358357,0.00633853,-nan,84603.00000000,0.00841143,0.000000,0.000000
1577837192.89952898,0.01356883,0.00880331,-nan,84863.00000000,0.01082774,0.000000,0.000000
1577837192.99936581,0.01355147,0.00818025,-nan,85041.00000000,0.01030494,0.000000,0.000000
1577837193.09960604,0.01353906,0.00848449,-nan,85242.00000000,0.01120461,0.000000,0.000000
1577837193.19945502,0.01352114,0.00770886,-nan,85375.00000000,0.01013509,0.000000,0.000000
1577837193.29929018,0.01350475,0.00805878,-nan,85658.00000000,0.01039091,0.000000,0.000000
1577837193.39994001,0.01348850,0.00809534,-nan,85607.00000000,0.01038430,0.000000,0.000000
1577837193.49977899,0.01347038,0.00731288,-nan,85908.00000000,0.00999153,0.000000,0.000000
1577837193.59961700,0.01345716,0.00839716,-nan,85999.00000000,0.01090582,0.000000,0.000000
1577837193.69946003,0.01344162,0.00817600,-nan,86343.00000000,0.01042764,0.000000,0.000000
1577837193.79928184,0.01343943,0.01094980,-nan,86679.00000000,0.01301176,0.000000,0.000000
1577837193.89991593,0.01343387,0.00955291,-nan,86905.00000000,0.01234354,0.000000,0.000000
1577837193.99975300,0.01343099,0.00997973,-nan,87309.00000000,0.01286361,0.000000,0.000000
1577837194.09958696,0.01343599,0.01173366,-nan,87694.00000000,0.01442566,0.000000,0.000000
1577837194.19941187,0.01342375,0.00742448,-nan,87896.00000000,0.01098850,0.000000,0.000000
1577837194.29964709,0.01341091,0.00835747,-nan,88103.00000000,0.01084302,0.000000,0.000000
1577837194.39949012,0.01339992,0.00839527,-nan,88482.00000000,0.01119158,0.000000,0.000000
1577837194.49934101,0.01338632,0.00809071,-nan,88792.00000000,0.01063915,0.000000,0.000000
1577837194.59997797,0.01336943,0.00743291,-nan,88991.00000000,0.00993914,0.000000,0.000000
1577837194.69981694,0.01334769,0.00603442,-nan,89139.00000000,0.00891448,0.000000,0.000000
1577837194.79965901,0.01333092,0.00777346,-nan,89212.00000000,0.00989250,0.000000,0.000000
1577837194.89948606,0.01332708,0.00972924,-nan,89134.00000000,0.01253631,0.000000,0.000000
1577837194.99933219,0.01331637,0.00822061,-nan,89198.00000000,0.01109986,0.000000,0.000000
1577837195.09996104,0.01329767,0.00671754,-nan,89256.00000000,0.00940700,0.000000,0.000000
1577837195.19981003,0.01329411,0.01056689,-nan,89467.00000000,0.01255016,0.000000,0.000000
1577837195.29964590,0.01329407,0.01103528,-nan,89598.00000000,0.01328627,0.000000,0.000000
1577837195.39948106,0.01328153,0.00867585,-nan,89751.00000000,0.01063544,0.000000,0.000000
1577837195.49932289,0.01326676,0.00699694,-nan,89879.00000000,0.01013437,0.000000,0.000000
1577837195.59996390,0.01325136,0.00800430,-nan,89869.00000000,0.00997192,0.000000,0.000000
1577837195.69981003,0.01324573,0.00995972,-nan,90122.00000000,0.01204135,0.000000,0.000000
1577837195.79965806,0.01324087,0.00975618,-nan,90438.00000000,0.01219478,0.000000,0.000000
1577837195.89949322,0.01323247,0.00872244,-nan,90408.00000000,0.01141852,0.000000,0.000000
1577837195.99932694,0.01323913,0.01215610,-nan,90642.00000000,0.01468442,0.000000,0.000000
1577837196.09994507,0.01323256,0.00973588,-nan,90854.00000000,0.01180013,0.000000,0.000000
1577837196.19977903,0.01323559,0.01000537,-nan,90966.00000000,0.01390017,0.000000,0.000000
1577837196.29960489,0.01322661,0.00889493,-nan,90994.00000000,0.01124995,0.000000,0.000000
1577837196.39944506,0.01321546,0.00760548,-nan,91204.00000000,0.01075151,0.000000,0.000000
1577837196.49928093,0.01319848,0.00715260,-nan,91376.00000000,0.00942946,0.000000,0.000000
1577837196.59991097,0.01318338,0.00729849,-nan,91577.00000000,0.00981587,0.000000,0.000000
1577837196.69974613,0.01316788,0.00644796,-nan,91636.00000000,0.00969650,0.000000,0.000000
1577837196.79958296,0.01314606,0.00613916,-nan,91677.00000000,0.00823657,0.000000,0.000000
1577837196.89941597,0.01312787,0.00605581,-nan,91745.00000000,0.00901543,0.000000,0.000000
1577837196.99965501,0.01310213,0.00488792,-nan,91815.00000000,0.00725997,0.000000,0.000000
1577837197.09948397,0.01307547,0.00492896,-nan,91846.00000000,0.00699775,0.000000,0.000000
1577837197.19930911,0.01306928,0.00794693,-nan,91897.00000000,0.01165006,0.000000,0.000000
1577837197.29994392,0.01305082,0.00624265,-nan,91982.00000000,0.00880664,0.000000,0.000000
1577837197.39979911,0.01303142,0.00608997,-nan,92025.00000000,0.00854855,0.000000,0.000000
1577837197.49964380,0.01300852,0.00546726,-nan,92084.00000000,0.00769579,0.000000,0.000000
1577837197.59948206,0.01299440,0.00630540,-nan,92108.00000000,0.00970612,0.000000,0.000000
1577837197.69933391,0.01297296,0.00520474,-nan,92118.00000000,0.00795579,0.000000,0.000000
1577837197.79997206,0.01295751,0.00640206,-nan,92203.00000000,0.00932614,0.000000,0.000000
1577837197.89981103,0.01293501,0.00488630,-nan,92293.00000000,0.00762460,0.000000,0.000000
1577837197.99964213,0.01291402,0.00525238,-nan,92369.00000000,0.00794017,0.000000,0.000000
1577837198.09946609,0.01289366,0.00602533,-nan,92463.00000000,0.00804774,0.000000,0.000000
1577837198.19931793,0.01287248,0.00567227,-nan,92498.00000000,0.00780996,0.000000,0.000000
1577837198.29995799,0.01285396,0.00562666,-nan,92398.00000000,0.00840908,0.000000,0.000000
1577837198.39979100,0.01283788,0.00641985,-nan,92430.00000000,0.00896359,0.000000,0.000000
1577837198.49962711,0.01281847,0.00605114,-nan,92474.00000000,0.00812074,0.000000,0.000000
1577837198.59945488,0.01280765,0.00718097,-nan,92547.00000000,0.01017910,0.000000,0.000000
1577837198.69929695,0.01278335,0.00480924,-nan,92548.00000000,0.00685265,0.000000,0.000000
1577837198.79992008,0.01276971,0.00524469,-nan,92576.00000000,0.00942736,0.000000,0.000000
1577837198.89976907,0.01274769,0.00479621,-nan,92591.00000000,0.00733262,0.000000,0.000000
1577837198.99961495,0.01272791,0.00570501,-nan,92618.00000000,0.00784056,0.000000,0.000000
1577837199.09945083,0.01270613,0.00507457,-nan,92639.00000000,0.00730583,0.000000,0.000000
1577837199.19929099,0.01268681,0.00509991,-nan,92662.00000000,0.00787702,0.000000,0.000000
1577837199.29992604,0.01267130,0.00653831,-nan,92734.00000000,0.00879320,0.000000,0.000000
1577837199.39977598,0.01264609,0.00426528,-nan,92789.00000000,0.00631696,0.000000,0.000000
1577837199.49962115,0.01262022,0.00404772,-nan,92784.00000000,0.00610230,0.000000,0.000000
1577837199.59945011,0.01260171,0.00509072,-nan,92824.00000000,0.00791788,0.000000,0.000000
1577837199.69929004,0.01257708,0.00431484,-nan,92903.00000000,0.00632170,0.000000,0.000000
1577837199.79992700,0.01255851,0.00549578,-nan,92959.00000000,0.00782273,0.000000,0.000000
1577837199.89976025,0.01253643,0.00464136,-nan,92986.00000000,0.00688384,0.000000,0.000000
1577837199.99961019,0.01251538,0.00496571,-nan,92977.00000000,0.00710485,0.000000,0.000000
1577837200.09944916,0.01249345,0.00443274,-nan,93018.00000000,0.00683725,0.000000,0.000000
1577837200.19928694,0.01247482,0.00540401,-nan,93027.00000000,0.00765003,0.000000,0.000000
1577837200.29992700,0.01245419,0.00507512,-nan,93056.00000000,0.00708971,0.000000,0.000000
1577837200.39977193,0.01243609,0.00488380,-nan,93096.00000000,0.00771121,0.000000,0.000000
1577837200.49961591,0.01242313,0.00616024,-nan,93210.00000000,0.00902821,0.000000,0.000000
1577837200.59945297,0.01240946,0.00591634,-nan,93254.00000000,0.00881475,0.000000,0.000000
1577837200.69928503,0.01239536,0.00592707,-nan,93313.00000000,0.00867306,0.000000,0.000000
1577837200.79992509,0.01237907,0.00611708,-nan,93385.00000000,0.00805999,0.000000,0.000000
1577837200.89976811,0.01236555,0.00657657,-nan,93498.00000000,0.00876980,0.000000,0.000000
1577837200.99959803,0.01235535,0.00767928,-nan,93639.00000000,0.00963162,0.000000,0.000000
1577837201.09942913,0.01235808,0.01112538,-nan,93797.00000000,0.01309104,0.000000,0.000000
1577837201.19967699,0.01236186,0.01043648,-nan,93905.00000000,0.01337727,0.000000,0.000000
1577837201.29949903,0.01236261,0.01062060,-nan,93783.00000000,0.01256718,0.000000,0.000000
1577837201.39932895,0.01236387,0.00962011,-nan,93881.00000000,0.01270321,0.000000,0.000000
1577837201.49997211,0.01236099,0.00967045,-nan,94192.00000000,0.01158006,0.000000,0.000000
1577837201.59980392,0.01235989,0.00980132,-nan,94439.00000000,0.01205744,0.000000,0.000000
1577837201.69964695,0.01237442,0.01347002,-nan,94751.00000000,0.01635705,0.000000,0.000000
1577837201.79948497,0.01236695,0.00831782,-nan,90755.00000000,0.01031231,0.000000,0.000000
1577837201.89931393,0.01237404,0.01221803,-nan,91087.00000000,0.01432980,0.000000,0.000000
1577837201.99996114,0.01237687,0.01110160,-nan,91482.00000000,0.01316101,0.000000,0.000000
1577837202.09980607,0.01238585,0.01118027,-nan,91765.00000000,0.01488209,0.000000,0.000000
1577837202.19966102,0.01237970,0.00858864,-nan,92105.00000000,0.01066344,0.000000,0.000000
1577837202.29950404,0.01237704,0.00956695,-nan,92412.00000000,0.01163371,0.000000,0.000000
1577837202.39933586,0.01237720,0.00916105,-nan,92663.00000000,0.01242149,0.000000,0.000000
1577837202.49997306,0.01237133,0.00782782,-nan,92837.00000000,0.01071748,0.000000,0.000000
1577837202.59981322,0.01236065,0.00726787,-nan,93073.00000000,0.00933694,0.000000,0.000000
1577837202.69965482,0.01234714,0.00648007,-nan,93244.00000000,0.00851077,0.000000,0.000000
1577837202.79949379,0.01234249,0.00705931,-nan,93333.00000000,0.01101757,0.000000,0.000000
1577837202.89933586,0.01233240,0.00714826,-nan,93416.00000000,0.00944524,0.000000,0.000000
1577837202.99996209,0.01231727,0.00584703,-nan,93558.00000000,0.00797636,0.000000,0.000000
1577837203.09980202,0.01229888,0.00455575,-nan,93611.00000000,0.00700137,0.000000,0.000000
1577837203.19963694,0.01227911,0.00415962,-nan,93736.00000000,0.00656781,0.000000,0.000000
1577837203.29946899,0.01226109,0.00502468,-nan,93604.00000000,0.00703291,0.000000,0.000000
1577837203.39930797,0.01224496,0.00475735,-nan,93721.00000000,0.00755133,0.000000,0.000000
1577837203.49995708,0.01222844,0.00497606,-nan,93788.00000000,0.00740558,0.000000,0.000000
1577837203.59979391,0.01220580,0.00355723,-nan,93848.00000000,0.00557068,0.000000,0.000000
1577837203.69962502,0.01218223,0.00299384,-nan,93903.00000000,0.00525302,0.000000,0.000000
1577837203.79947209,0.01215877,0.00300516,-nan,93950.00000000,0.00524017,0.000000,0.000000
1577837203.89930701,0.01214165,0.00380977,-nan,94002.00000000,0.00707330,0.000000,0.000000
1577837203.99993491,0.01212444,0.00448501,-nan,94062.00000000,0.00701207,0.000000,0.000000
1577837204.09978008,0.01210266,0.00321402,-nan,94179.00000000,0.00561283,0.000000,0.000000
1577837204.19961691,0.01209654,0.00589133,-nan,94321.00000000,0.01026769,0.000000,0.000000
1577837204.29945803,0.01210302,0.00866488,-nan,94441.00000000,0.01404484,0.000000,0.000000
1577837204.39929700,0.01209434,0.00572885,-nan,94611.00000000,0.00948393,0.000000,0.000000
1577837204.49992394,0.01209421,0.00744514,-nan,94799.00000000,0.01205425,0.000000,0.000000
1577837204.59975600,0.01209747,0.00843353,-nan,95019.00000000,0.01308582,0.000000,0.000000
1577837204.69959712,0.01209831,0.00735269,-nan,95318.00000000,0.01235277,0.000000,0.000000
1577837204.79942799,0.01210605,0.00950498,-nan,95544.00000000,0.01446554,0.000000,0.000000
1577837204.89966321,0.01210398,0.00813127,-nan,95887.00000000,0.01147131,0.000000,0.000000
1577837204.99950218,0.01210616,0.00840160,-nan,96251.00000000,0.01277551,0.000000,0.000000
1577837205.09933496,0.01212310,0.01227423,-nan,96537.00000000,0.01734164,0.000000,0.000000
1577837205.19997907,0.01214688,0.01665218,-nan,96979.00000000,0.01949301,0.000000,0.000000
1577837205.29982805,0.01216140,0.01332734,-nan,97348.00000000,0.01666333,0.000000,0.000000
1577837205.39966702,0.01217589,0.00819883,-nan,97559.00000000,0.01668427,0.000000,0.000000
1577837205.49950790,0.01217125,0.00649879,-nan,97881.00000000,0.01072265,0.000000,0.000000
1577837205.59934998,0.01216922,0.00748176,-nan,98195.00000000,0.01153230,0.000000,0.000000
1577837205.69998479,0.01217673,0.00948864,-nan,98524.00000000,0.01453533,0.000000,0.000000
1577837205.79982209,0.01218517,0.01034342,-nan,98773.00000000,0.01484459,0.000000,0.000000
1577837205.89965892,0.01217882,0.00636541,-nan,98991.00000000,0.01017076,0.000000,0.000000
1577837205.99948692,0.01217522,0.00674752,-nan,99162.00000000,0.01103441,0.000000,0.000000
1577837206.09932995,0.01217586,0.00875100,-nan,99501.00000000,0.01238053,0.000000,0.000000
1577837206.19997311,0.01218205,0.01041539,-nan,99514.00000000,0.01415517,0.000000,0.000000
1577837206.29980278,0.01217618,0.00693335,-nan,99722.00000000,0.01029915,0.000000,0.000000
1577837206.39965701,0.01216884,0.00643217,-nan,99865.00000000,0.00981311,0.000000,0.000000
1577837206.49949908,0.01216531,0.00835498,-nan,100032.00000000,0.01102835,0.000000,0.000000
1577837206.59934306,0.01217074,0.00927257,-nan,100152.00000000,0.01392373,0.000000,0.000000
1577837206.69998479,0.01217478,0.00943427,-nan,100420.00000000,0.01348486,0.000000,0.000000
1577837206.79982376,0.01219327,0.01408577,-nan,100743.00000000,0.01820343,0.000000,0.000000
1577837206.89967585,0.01220942,0.01261607,-nan,101113.00000000,0.01747273,0.000000,0.000000
1577837206.99950480,0.01222480,0.01375227,-nan,101443.00000000,0.01725498,0.000000,0.000000
1577837207.09932494,0.01224724,0.01538884,-nan,101756.00000000,0.01960526,0.000000,0.000000
1577837207.19996595,0.01227384,0.01717104,-nan,102048.00000000,0.02102535,0.000000,0.000000
1577837207.29981303,0.01228238,0.01243487,-nan,102194.00000000,0.01510048,0.000000,0.000000
1577837207.39965200,0.01230037,0.01563696,-nan,102522.00000000,0.01825783,0.000000,0.000000
1577837207.49948812,0.01232888,0.01897502,-nan,102987.00000000,0.02179444,0.000000,0.000000
1577837207.59932804,0.01233637,0.01197973,-nan,103225.00000000,0.01482783,0.000000,0.000000
1577837207.69996691,0.01233967,0.01145545,-nan,103541.00000000,0.01344176,0.000000,0.000000
1577837207.79981899,0.01235760,0.01580736,-nan,103949.00000000,0.01836683,0.000000,0.000000
1577837207.89967012,0.01235594,0.00901167,-nan,104131.00000000,0.01179822,0.000000,0.000000
1577837207.99952197,0.01235404,0.00924635,-nan,104262.00000000,0.01171228,0.000000,0.000000
1577837208.09935784,0.01235350,0.00974754,-nan,104432.00000000,0.01217228,0.000000,0.000000
1577837208.19960189,0.01236905,0.01293226,-nan,104609.00000000,0.01763873,0.000000,0.000000
1577837208.29943705,0.01236302,0.00797035,-nan,104661.00000000,0.01031291,0.000000,0.000000
1577837208.39967585,0.01235676,0.00661516,-nan,104747.00000000,0.01022420,0.000000,0.000000
1577837208.49950790,0.01235603,0.00811156,-nan,104782.00000000,0.01210507,0.000000,0.000000
1577837208.59936213,0.01234364,0.00464147,-nan,104869.00000000,0.00809207,0.000000,0.000000
1577837208.69999099,0.01233242,0.00523370,-nan,104956.00000000,0.00847387,0.000000,0.000000
1577837208.79981995,0.01232405,0.00479786,-nan,104992.00000000,0.00943814,0.000000,0.000000
1577837208.89966321,0.01230883,0.00436070,-nan,105047.00000000,0.00704208,0.000000,0.000000
1577837208.99949789,0.01229576,0.00470302,-nan,105067.00000000,0.00775960,0.000000,0.000000
1577837209.09933400,0.01228747,0.00583945,-nan,105094.00000000,0.00940336,0.000000,0.000000
1577837209.19996119,0.01227591,0.00473088,-nan,105082.00000000,0.00824065,0.000000,0.000000
1577837209.29980397,0.01226502,0.00529294,-nan,105127.00000000,0.00845293,0.000000,0.000000
1577837209.39963293,0.01224941,0.00360572,-nan,105155.00000000,0.00677071,0.000000,0.000000
1577837209.49947691,0.01223759,0.00448763,-nan,105210.00000000,0.00807823,0.000000,0.000000
1577837209.59932804,0.01222257,0.00417983,-nan,105199.00000000,0.00692075,0.000000,0.000000
